Name,Brand,Current Price,Original Price,Discount %,Strap Colour,Strap Type,Watch Shape,Display Size,Display Type,Calorie Count,Step Count,Heart Rate Monitor,Health Features,Smart Functions,brand,parent_company,number_of_associated_brands,Calculated Discount %,Discount Suspicious,Display Size (inches),Health Feature Count,Smart Feature Count,Price Anomaly
"Avonix Trendy latest Gen9 smartwatch, Golden & Pink strap ,hd dis...more",Avonix,1470.0,1509.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,Avonix,Avonix,0,2.6,True,8.0,4,1,False
"GameSir Active-2 Round Dial Smartwatch 1.49"" AMOLED Display, Spor...more",GameSir,2164.0,1199.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",GameSir,GameSir,0,-80.5,True,8.0,5,2,True
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,1478.0,936.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,Nikki,Nikki,0,-57.9,True,8.0,4,1,True
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Mu...more",WTG,682.0,691.0,85.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,WTG,WTG,0,1.3,True,8.0,4,1,False
"Maxima Max Pro Infinity 2.01""Ultra HD 2.5D Curved Display,BT Call...more",Maxima,1499.0,879.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",Maxima,Maxima,0,-70.5,True,8.0,1,2,True
"Nervfit New ACTIV Pro 1.39"" TrueColor+ LED, BT Calls, Steps, HR, ...more",Nervfit,2099.0,1365.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",Nervfit,Nervfit,0,-53.8,True,8.0,5,2,True
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Mu...more",WTG,697.0,24999.0,85.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",WTG,WTG,0,97.2,False,8.0,5,2,False
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Working Crow...more,Fastrack,3199.0,4999.0,58.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",Fastrack,Titan Company Limited,0,36.0,True,8.0,5,2,False
ULTRON Gen 9 Model Fitness Health Music Smartwatch: The Next Gene...more,ULTRON,918.0,872.0,70.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,ULTRON,ULTRON,0,-5.3,True,8.0,4,1,True
JOKIN New Smartwatch: The Next Generation of women Fitness Health...more,JOKIN,939.0,892.0,73.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",JOKIN,JOKIN,0,-5.3,True,8.0,4,2,True
MBS Gen 9 smartwatch latest smart watch for girls amoled display ...more,MBS,2164.0,1399.0,84.0,Black,Leather,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",MBS,MBS,0,-54.7,True,8.0,4,2,True
"Nervfit Vibe 1.85"" TrueColor+ Super HD, BT Calls, Waterproof, HR,...more",Nervfit,1899.0,697.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Nervfit,Nervfit,0,-172.5,True,8.0,4,2,True
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,888.0,895.0,85.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",GOBOULT,GOBOULT,0,0.8,True,8.0,1,2,False
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Mu...more",WTG,2416.0,685.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor",BT Calling,WTG,WTG,0,-252.7,True,8.0,5,1,True
"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Generation o...more",SUSTAINIX,1447.0,1509.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",SUSTAINIX,SUSTAINIX,0,4.1,True,8.0,1,2,False
"GameSir T55 Pink 1.69"" AMOLED Display, Music, Fitness, Sports Sma...more",GameSir,1615.0,682.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor",BT Calling,GameSir,GameSir,0,-136.8,True,8.0,3,1,True
sweetex Rose Gold Smart Watch Bluetooth Calling Activity Tracking...more,sweetex,1509.0,1199.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",sweetex,Sweetex,0,-25.9,True,8.0,1,2,True
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,1199.0,1999.0,83.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, SpO2","BT Calling, Voice Assistant",GOBOULT,GOBOULT,0,40.0,True,8.0,2,2,False
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,1505.0,1499.0,85.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GOBOULT,GOBOULT,0,-0.4,True,8.0,3,2,True
"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Generation o...more",SUSTAINIX,1470.0,1509.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",SUSTAINIX,SUSTAINIX,0,2.6,True,8.0,1,2,False
TULUA Series New Edition Smartwatch For Women With Bluetooth Call...more,TULUA,934.0,887.0,82.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor",BT Calling,TULUA,TULUA,0,-5.3,True,8.0,5,1,True
"Maxima Max Pro Infinity 2.01""Ultra HD 2.5D Curved Display,BT Call...more",Maxima,1499.0,1499.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",Maxima,Maxima,0,0.0,True,8.0,3,2,False
Yash Enterprises Gen 8 Model Fitness Health Music Smartwatch: The...more,Yash,2416.0,1899.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate",BT Calling,Yash,Yash,0,-27.2,True,8.0,3,1,True
MBS Gen 9 smartwatch latest smart watch for girls amoled display ...more,MBS,1509.0,1461.0,84.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",MBS,MBS,0,-3.3,True,8.0,3,2,True
"PunnkFunnk Edge-Lite | 1.99 "" Amoled Display | BT Calling | AI Vo...more",PunnkFunnk,698.0,1199.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor",BT Calling,PunnkFunnk,PunnkFunnk,0,41.8,True,8.0,2,1,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,895.0,1499.0,81.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, SpO2",BT Calling,GOBOULT,GOBOULT,0,40.3,True,8.0,2,1,False
Fastrack Optimus2 Pro-1.43'' AMOLED|Advanced Blazing Fast UI|AOD|...more,Fastrack,1505.0,2164.0,58.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Fastrack,Titan Company Limited,0,30.5,True,8.0,3,2,False
